Insertion Sort;Selection Sort;Heap Sort;CountingSort;MergeSort;QuickSort;CountingSort;ShellSort
0.0044;0.0014;0.3138;0;
0.0006;0.0011;0.0013;0;
0.0004;0.0009;0.001;0;
0.0003;0.0008;0.001;0;
0.0004;0.0008;0.001;0;
0.0006;0.0011;0.0012;0;
0.0007;0.0009;0.0012;0;
0.0005;0.0009;0.001;0;
0.0009;0.002;0.001;0;
0.0005;0.001;0.001;0;
0.0006;0.0011;0.0017;0;
0.0008;0.0015;0.0016;0;
0.0008;0.0015;0.0012;0;
0.0008;0.0014;0.0015;0;
0.0007;0.0194;0.0027;0;
0.0021;0.0029;0.0029;0;
0.0015;0.0016;0.0015;0;
0.0007;0.0011;0.0011;0;
0.0019;0.0017;0.0016;0;
0.0016;0.0018;0.0018;0;
0.0016;0.0017;0.0018;0;
0.0021;0.0027;0.0019;0;
0.002;0.0021;0.0033;0;
0.0019;0.0021;0.0018;0;
0.002;0.0021;0.0018;0;
0.003;0.0018;0.0019;0;
0.0019;0.0017;0.0015;0;
0.0016;0.0024;0.0014;0;
0.0015;0.0018;0.0019;0;
0.0019;0.0019;0.0016;0;
0.0012;0.0041;0.0013;0;
0.0013;0.0017;0.0013;0;
0.0014;0.0016;0.0018;0;
0.0016;0.0018;0.0018;0;
0.0015;0.0017;0.0013;0;
0.0013;0.0017;0.0016;0;
0.0008;0.0013;0.0014;0;
0.0006;0.0013;0.0014;0;
0.0009;0.0016;0.0014;0;
0.0009;0.0015;0.0018;0;
0.0008;0.0016;0.0018;0;
0.0007;0.0014;0.0016;0;
0.0007;0.0016;0.0015;0;
0.0007;0.0015;0.0018;0;
0.0009;0.0014;0.002;0;
0.0013;0.0015;0.002;0;
0.0017;0.0019;0.0023;0;
0.0015;0.0019;0.002;0;
0.0013;0.0018;0.002;0;
0.0013;0.0019;0.002;0;
0.0017;0.0022;0.0023;0;
0.0018;0.002;0.0024;0;
0.0015;0.0021;0.0022;0;
0.0015;0.0018;0.0019;0;
0.0011;0.0014;0.0015;0;
0.0013;0.002;0.0018;0;
0.0011;0.0016;0.0022;0;
0.0015;0.0016;0.0015;0;
0.0008;0.0015;0.0017;0;
0.0009;0.0014;0.0015;0;
0.0013;0.0017;0.0023;0;
0.0013;0.0019;0.002;0;
0.0011;0.0017;0.0017;0;
0.0016;0.0019;0.0027;0;
0.0025;0.0033;0.0032;0;
0.0099;0.0028;0.016;0;
0.0027;0.0024;0.0028;0;
0.0026;0.0026;0.0026;0;
0.0029;0.0031;0.0051;0;
0.0022;0.0023;0.0034;0;
0.0023;0.0033;0.0036;0;
0.0015;0.0019;0.0022;0;
0.0011;0.002;0.0014;0;
0.0011;0.0017;0.0015;0;
0.0016;0.0016;0.0016;0;
0.0012;0.002;0.0023;0;
0.0014;0.0018;0.0022;0;
0.0012;0.0018;0.002;0;
0.0013;0.0018;0.0021;0;
0.0013;0.0017;0.0019;0;
0.0012;0.0017;0.0034;0;
0.0017;0.002;0.0021;0;
0.001;0.0014;0.0015;0;
0.0011;0.0014;0.0014;0;
0.001;0.0013;0.0019;0;
0.0013;0.0015;0.0016;0;
0.0011;0.0012;0.0015;0;
0.001;0.0014;0.0015;0;
0.0007;0.0016;0.0016;0;
0.0013;0.0022;0.0021;0;
0.0015;0.0017;0.0022;0;
0.0015;0.002;0.0023;0;
0.0014;0.0019;0.0018;0;
0.0013;0.0019;0.002;0;
0.0013;0.0013;0.0016;0;
0.0018;0.0015;0.0019;0;
0.0019;0.0019;0.0018;0;
0.0012;0.002;0.0022;0;
0.0013;0.0018;0.0022;0;
0.0014;0.0019;0.0019;0;
